frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
46, 0, 0.000, 0.98, 1, -0.88, 1.56, 1.45, 1.74, -0.72, -1.17, 1.52, 1.68, 0.31, 1.28, 0.06, 0.43, 0.40, 1.52, 1.68, -1.35, 0.81, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
47, 0, 0.000, 0.98, 1, -2.03, -1.35, -0.98, 0.23, -0.90, 0.02, 0.92, -0.10, 0.64, 0.10, -0.38, -0.42, -0.01, 0.54, 0.94, -1.31, -0.25, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
48, 0, 0.000, 0.58, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
49, 0, 0.000, 0.02, 0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
50, 0, 0.000, 0.98, 1, -2.18, -0.84, -0.89, -2.18, -0.48, -0.73, 1.41, 0.27, -0.56, -0.02, 0.35, 0.03, 1.18, 2.67, 0.07, 0.10, -0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
51, 0, 0.000, 0.98, 1, -0.21, -0.46, -1.83, 0.73, -0.75, -0.13, 0.89, -0.77, -0.16, -0.30, -1.32, 0.07, -0.36, 1.60, 0.00, 0.40, -0.32, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
52, 0, 0.000, 0.98, 1, 2.31, 2.78, -0.59, -2.51, -0.70, -0.75, 1.44, 1.28, -0.44, 1.07, 1.90, 4.07, 0.66, 2.64, -2.19, -0.32, 1.64, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
53, 0, 0.000, 0.88, 1, -1.14, -1.06, 0.51, 0.52, 0.78, -1.42, -0.21, -0.91, -0.29, -0.06, 1.61, 3.44, 2.23, 3.42, 1.29, 2.85, 0.76, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
54, 0, 0.000, 0.98, 1, 4.15, 3.94, -0.13, -0.49, 0.77, 0.55, 0.07, 2.20, 1.95, 2.02, 1.65, 1.36, -0.17, -0.74, 2.72, 1.97, 0.46, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
55, 0, 0.000, 0.98, 1, -0.75, 0.26, 0.72, 0.12, -0.28, 0.98, -0.78, -0.64, -0.53, -0.40, 1.66, 1.95, 1.91, 2.03, 3.65, 2.54, 1.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
56, 0, 0.000, 0.98, 1, 3.17, 1.74, 1.25, 1.75, -0.24, 0.89, 0.31, 0.65, -0.01, 0.16, 0.66, 0.26, 1.31, 1.05, 1.50, -0.07, -0.55, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
57, 0, 0.000, 0.98, 1, 1.84, 2.12, -0.27, 0.89, -1.92, -1.87, 1.01, -1.28, -1.05, -0.24, 0.32, -0.77, -0.60, -0.56, 1.38, -0.39, 1.29, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0
58, 0, 0.000, 0.85, 1, 1.36, 1.79, -0.68, -0.50, -1.61, -2.58, 1.43, -1.80, -0.86, -0.05, 1.55, -1.07, -0.42, 0.70, 1.04, 0.64, 0.08, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
59, 0, 0.000, 0.98, 1, 0.24, 0.01, -0.81, -1.39, -0.45, -0.16, 1.18, 0.41, -0.33, -0.18, 0.20, 1.37, -0.90, 1.27, 0.15, -1.52, -0.83, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
60, 0, 0.000, 0.98, 1, -1.12, -0.99, -1.02, -2.62, -0.96, -0.73, -0.17, -2.08, -0.96, 0.83, -0.34, -0.43, 0.96, 1.76, 1.74, 1.78, 1.42, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0
